"plot","ARLU","ASHU","BADI","BOCU","BREU","CARO","CEFE","CHAL","CIWH","COAN","COCA","CRFE","ELEL","ERDI","ERNA","ERNE","ERSP","FEAR","GECA","HEMU","HEOB","HOWR","KOMA","LIDA","LIMA","LIMU","LOWR","LUAR","MUMO","MUST","MUWR","PAMU","PIPR","PSMA","QUGA","SATR","SCSC","SOTR","SOVE","STTE","TRRA","VETH"
"37",0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.952380952380952,0,0,0,0,0,0,0,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995850622406639,0,0,0,0.004149377593361,0,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0,0,0,0,0.00452488687782805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633484162895928,0,0,0,0,0,0.226244343891403,0,0.0452488687782805,0,0,0,0.0904977375565611
"42",0,0,0,0,0,0,0,0,0,0,0,0,0.0357142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.428571428571429,0,0,0,0,0,0,0.0357142857142857
"44",0,0,0,0,0,0,0,0,0,0,0,0,0.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.09375,0,0,0,0,0,0,0,0,0,0,0,0.625
"45",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210526315789474,0,0,0,0,0,0,0.0526315789473684,0,0,0,0,0,0,0,0,0.394736842105263,0,0,0,0,0,0,0,0.342105263157895
"46",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0,0,0,0,0,0,0,0,0,0,0.484848484848485,0,0,0,0,0,0,0,0,0.363636363636364,0,0,0.0909090909090909,0,0,0
"48",0,0,0,0,0,0,0,0.0116279069767442,0,0,0,0,0,0,0,0,0,0.290697674418605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116279069767442,0.581395348837209
"49",0,0,0,0,0,0,0,0,0,0,0.00778210116731518,0,0.272373540856031,0,0,0,0,0.116731517509728,0,0,0,0,0,0.0194552529182879,0,0,0.0778210116731518,0,0,0,0,0,0,0,0.0389105058365759,0,0,0,0,0,0,0.46692607003891
"50",0,0,0,0,0,0,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526315789473684,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684
"51",0,0,0,0,0,0,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0.928
"52",0,0,0,0,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0,0.032258064516129,0,0,0.387096774193548,0,0,0,0,0,0,0.032258064516129,0,0,0,0,0,0,0,0.483870967741935
"53",0,0,0,0,0,0,0,0,0.123711340206186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824742268041237,0,0,0,0.0103092783505155,0,0.0824742268041237,0,0,0,0,0,0,0,0,0,0,0,0.701030927835051
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0.53968253968254,0,0,0,0,0,0,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317460317460317
"55",0,0,0,0,0,0,0.244897959183673,0,0,0,0,0,0,0,0,0,0,0,0,0.183673469387755,0,0,0,0,0,0,0,0,0,0.530612244897959,0,0,0,0,0,0,0,0,0,0.0408163265306122,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00606060606060606,0,0,0.218181818181818,0,0,0,0.121212121212121,0,0,0,0,0,0,0,0.654545454545455
"57",0,0,0,0,0,0,0.544871794871795,0.00641025641025641,0,0,0,0,0.16025641025641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192307692307692,0,0,0,0.0961538461538462,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0.32258064516129,0,0,0,0,0.290322580645161,0,0,0,0,0,0,0,0,0,0,0,0.387096774193548,0,0,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0.385964912280702,0,0,0,0,0,0,0,0,0,0,0,0,0.421052631578947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192982456140351
"60",0,0,0,0,0,0,0,0.0353982300884956,0,0,0,0,0.0353982300884956,0,0,0,0,0.141592920353982,0,0,0,0,0,0,0,0,0.00884955752212389,0,0,0.743362831858407,0,0,0,0,0,0.0353982300884956,0,0,0,0,0,0
