"plot","ARLU","ASHU","BADI","BOCU","BREU","CAHU","CARO","CEFE","CHAL","CIWH","COAN","COCA","DEPI","ELEL","EPBR","ERAL","ERDI","ERNA","ERNE","ERSP","FEAR","HEMU","HOWR","LACO","LASE","LIDA","LIIN","LIMU","LINE","LOWR","LUAR","MUMO","MUST","MUWR","OEEL","PIPR","PSMA","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"42",0,0,0,0,0,0,0,0,0.324705882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018823529,0,0.324705882,0,0,0.324705882,0,0,0,0.007058824,0
"44",0,0,0,0,0,0,0,0,0.378295759,0,0,0.171952618,0,0,0,0,0,0,0,0,0,0,0,0,0.302636607,0,0,0,0,0,0,0,0.021930189,0,0,0,0.084065724,0,0,0,0,0.041119104,0
"45",0,0,0,0,0,0,0,0,0,0,0,0.055815759,0.245589342,0,0.245589342,0,0,0,0,0,0.004093156,0,0,0,0,0,0.245589342,0,0,0,0,0,0,0,0,0,0.081863114,0,0.030698668,0,0,0.090761278,0
"46",0,0,0,0,0,0,0,0,0,0,0,0.193548387,0,0,0,0,0,0,0,0,0,0,0,0,0.387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032258065,0,0,0.387096774,0
"47",0,0,0,0,0,0,0.059587029,0,0,0,0.14300887,0.113757056,0,0,0,0,0,0,0.357522176,0,0,0,0,0,0,0,0,0,0,0.051074597,0,0,0,0,0,0,0.079449372,0,0.193657845,0,0,0.001943055,0
"48",0,0,0,0,0,0,0,0,0,0,0,0.229500359,0,0,0,0,0,0,0,0,0.126225197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289266077,0,0.039445374,0.315562993,0
"49",0,0,0,0,0,0,0,0,0,0,0,0.322791916,0,0.355071108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142028443,0.118357036,0,0,0.061751497,0
"50",0,0,0,0,0,0,0,0.26620237,0,0,0,0.176315855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323245735,0,0,0,0,0,0,0.065586091,0,0,0,0,0,0,0,0,0.168649949,0
"51",0,0,0,0,0,0,0,0.051373992,0,0,0,0.119094254,0,0,0,0,0,0,0,0,0,0,0,0.436678932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003638991,0,0,0.389213831,0
"52",0,0,0,0,0,0,0,0,0,0,0,0.012601589,0,0,0,0,0.277234956,0,0,0,0,0,0,0,0,0.277234956,0,0,0,0.277234956,0,0,0,0,0,0,0,0,0.023102913,0,0,0.132590631,0
"53",0,0,0,0,0,0,0,0,0.034360994,0.343609942,0,0.046855901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343609942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231563222,0
"54",0,0,0,0,0,0,0,0,0,0,0,0.102586492,0,0,0,0,0,0,0,0,0,0.334355973,0,0,0,0,0,0,0,0.268678907,0,0,0,0,0,0,0,0,0,0,0,0.294378628,0
"55",0,0,0,0,0.450748781,0,0,0.079543902,0,0,0,0.061465743,0,0.084515396,0,0,0,0,0,0,0,0.166943993,0,0,0,0,0,0,0,0,0,0,0.156782185,0,0,0,0,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,0,0,0.275161413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.100265856,0,0,0,0.192176225,0,0,0,0,0.432396506,0
"57",0,0,0,0,0,0,0,0.718755672,0,0,0,0.261365699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003906281,0.015972348,0,0,0,0,0,0
"58",0,0,0,0,0,0,0,0,0,0,0,0,0,0.397465438,0,0,0,0,0,0,0.158986175,0,0.397465438,0,0,0,0,0,0,0,0,0,0.046082949,0,0,0,0,0,0,0,0,0,0
"59",0,0,0,0,0,0,0,0.428019676,0,0,0,0.110247492,0,0,0,0,0,0,0,0,0,0.413223935,0,0,0,0.048508897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0.045592705,0,0,0,0,0,0,0.097264438,0,0,0,0.583586626,0,0,0,0,0,0,0,0.243161094,0,0,0,0,0,0.030395137,0,0,0,0
