"plot","ARLU","BOCU","CAHU","CEFE","CIWH","COAN","ELEL","ERAL","ERNA","ERNE","FEAR","GECA","HEMU","LIDA","LIMU","LOWR","MACA","MUMO","MUWR","OEEL","PEVI","PIPR","PSMA","PSTE","QUGA","SCSC","STPA","TAOF","TRRA"
"18",0,0.347826086956522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.347826086956522,0,0,0,0,0.0144927536231884,0,0,0.231884057971014,0.0579710144927536,0,0
"19",0,0,0,0,0,0,0.0359712230215827,0,0,0,0,0,0.0143884892086331,0,0,0,0,0.503597122302158,0,0,0,0.0719424460431655,0,0,0,0.359712230215827,0,0,0.0143884892086331
"20",0,0,0,0,0,0,0.0495049504950495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940594059405941,0,0,0,0,0,0,0.0099009900990099
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"22",0,0,0,0,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0,0.733333333333333,0,0,0,0,0,0,0.133333333333333,0,0,0,0
"23",0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0.0588235294117647,0,0,0,0.0588235294117647,0.147058823529412,0,0,0,0,0,0,0.147058823529412,0,0,0,0.588235294117647,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0.123076923076923,0,0,0,0,0,0,0.615384615384615,0,0,0.0153846153846154,0,0,0,0.246153846153846,0,0,0,0
"26",0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0.2,0,0,0,0,0,0,0
"27",0,0,0,0,0.650406504065041,0,0,0,0,0,0,0,0,0,0,0,0,0.32520325203252,0.013550135501355,0,0,0,0,0,0.010840108401084,0,0,0,0
"28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.823529411764706,0,0,0,0.176470588235294,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0.9375,0,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00892857142857143,0,0.803571428571429,0,0.0446428571428571,0,0.133928571428571,0,0,0.00892857142857143,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"32",0,0,0,0,0.0280898876404494,0.702247191011236,0,0,0,0,0,0,0.168539325842697,0,0,0,0,0,0,0,0,0.098314606741573,0,0,0,0,0,0.00280898876404494,0
"34",0,0,0,0.04,0,0.04,0,0,0,0,0,0,0,0,0,0.04,0,0.52,0,0,0,0.36,0,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0.0136986301369863,0,0,0,0,0,0,0,0,0,0.10958904109589,0,0,0,0.547945205479452,0,0,0,0.328767123287671,0,0,0
"36",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"37",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975609756097561,0,0,0.024390243902439,0,0,0,0,0,0,0
"38",0,0,0,0.027027027027027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.864864864864865,0,0,0.108108108108108,0,0,0,0,0,0,0
"39",0,0,0,0,0,0,0.0862068965517241,0,0,0,0,0,0,0,0,0,0,0.862068965517241,0,0,0,0,0,0,0.00862068965517241,0.0431034482758621,0,0,0
"40",0,0,0,0,0,0.146341463414634,0,0,0,0,0.048780487804878,0,0,0,0,0,0,0.146341463414634,0.634146341463415,0,0,0.024390243902439,0,0,0,0,0,0,0
"41",0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
"43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"44",0,0,0,0,0,0,0.736842105263158,0,0,0,0.263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.983606557377049,0,0,0,0,0,0,0,0.0163934426229508,0,0,0,0,0
"49",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52",0,0,0,0.645161290322581,0,0.043010752688172,0,0,0,0,0,0,0,0,0,0.268817204301075,0,0.043010752688172,0,0,0,0,0,0,0,0,0,0,0
"54",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0.961538461538461,0,0,0,0,0,0,0,0,0,0,0
"55",0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0
"58",0,0,0,0,0,0.00821018062397373,0.755336617405583,0,0,0,0.0985221674876847,0,0,0,0,0,0,0.13136288998358,0,0,0,0,0,0,0.00656814449917898,0,0,0,0
"59",0,0,0,0.952380952380952,0,0,0,0,0,0,0,0,0,0,0,0.0476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777777777778,0,0.972222222222222,0,0,0,0,0,0,0,0,0,0,0
