"plot","ARLU","ASHU","BADI","BOCU","CAHU","CARO","CEFE","CHAL","COAN","COCA","CRGR","ELEL","EPBR","ERAL","ERDI","ERNE","ERRA","ERspp","FEAR","GECA","HEMU","HEOB","HOWR","LACO","LASC","LASE","LIDA","LIMU","LOWR","LUAR","MACA","MUMO","MUST","MUWR","OEEL","OXLA","PAMU","PEVI","PHAN","PIPR","PSCO","PSMA","PSTE","QUGA","SATR","SCSC","TRRA","VETH","VIPU"
"18",0,0,0,0.24822695035461,0,0,0,0,0,0,0,0,0,0.283687943262411,0,0,0,0,0,0,0,0.00709219858156028,0,0,0,0,0,0,0,0,0,0.24822695035461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212765957446809,0,0,0
"19",0,0,0,0,0,0,0.0802139037433155,0,0,0,0,0.160427807486631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106951871657754,0,0.0106951871657754,0.106951871657754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320855614973262,0.213903743315508,0,0
"20",0,0,0,0,0,0.15,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0.05,0,0
"21",0,0,0.2,0,0,0,0,0,0,0,0,0.4,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0
"22",0,0,0,0,0.00862068965517241,0,0,0,0,0,0,0.129310344827586,0,0,0,0,0,0,0.0431034482758621,0,0,0,0,0,0,0,0,0,0,0,0,0.344827586206897,0.474137931034483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",0.147679324894515,0.0421940928270042,0,0,0,0,0,0,0,0,0,0.0210970464135021,0,0,0,0.0210970464135021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0421940928270042,0.717299578059072,0,0,0,0.00843881856540084,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",0,0,0,0,0,0.166666666666667,0,0,0.0833333333333333,0,0,0.166666666666667,0,0,0.0833333333333333,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0,0.0833333333333333,0,0,0,0,0.541666666666667,0,0,0,0.125,0,0,0,0,0
"26",0.037037037037037,0,0.185185185185185,0,0,0.185185185185185,0,0,0.037037037037037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37037037037037,0,0,0,0,0,0,0,0,0,0.185185185185185,0,0,0,0,0,0,0
"27",0,0,0,0,0,0.517241379310345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344827586206897,0,0,0.241379310344828,0.206896551724138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",0,0,0.0100200400801603,0,0,0,0.0601202404809619,0.00400801603206413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00400801603206413,0,0,0,0,0,0,0.440881763527054,0.420841683366733,0,0,0,0,0,0,0,0,0.0601202404809619,0,0,0,0,0,0,0
"29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.953488372093023,0,0.0465116279069767,0,0,0,0,0,0,0
"30",0.00404448938321537,0,0,0,0,0.0808897876643074,0,0,0.0404448938321537,0,0,0,0,0,0,0.0404448938321537,0,0,0,0,0,0,0,0,0,0,0,0,0.00505561172901921,0,0,0,0.667340748230536,0,0,0,0,0,0,0,0.0404448938321537,0.121334681496461,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,0,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.961538461538462,0,0,0,0,0,0,0,0,0
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0266666666666667,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0.106666666666667,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0
"33",0,0,0,0,0,0,0,0.0267379679144385,0,0,0,0,0,0,0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0106951871657754,0,0,0.053475935828877,0
"34",0,0,0,0,0,0.115740740740741,0,0,0,0,0,0,0,0,0,0,0,0.0694444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300925925925926,0,0,0,0,0.00462962962962963,0,0,0,0.138888888888889,0,0,0.25462962962963,0,0,0.115740740740741,0
