plot,ARDR,ARLU,ASHU,BADI,BOCU,CAHU,CARO,CEFE,CHAL,CIWH,COAN,COCA,CRGR,ELEL,ERAL,ERNE,ERSP,FEAR,GECA,HEMU,LASE,LIDA,LIMU,LOWR,LUAR,MACA,MUMO,MUST,MUWR,OEEL,PAMU,PEVI,PIPR,POOL,PSMA,PSTE,QUGA,SATR,SCSC,TRRA,VETH,VIPU
49,0,0,0,0,0,0,0,0,0,0,0,0,23,7,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,30,0,0,6,0
50,0,0,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0.2,0
52,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,1.5,0,1.5,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,59,0,0,0,0
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0
54,0,0,0,0,0,0,0,0,1,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,4,0,0.2,0,3,0,0,0,0,0,0,0,0,0,46,0,0,3,0
55,0,0,0,0,0,0,0,0.2,11,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,57,0,0,0.2,0
56,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0
57,0,0,0,0,0,0,0,2,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,0
58,0,0,0,0,0,0,0,0,15,0,2,0,0,11,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,0
59,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,7,0
60,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5,0,0.2,0,7,0,0,0,0,0,0,0,0,0,30,0,0,1,0
